class_name,class_description,method,method_description
LoginKit.LoginStateController,This module provides hooks for callbacks on state changes to login.,removeOnLoginStartListener(LoginStateController.OnLoginStartListener listener),Method to remove an OnLoginStartListener from the LoginStateController
LoginKit.LoginStateController.OnLoginStartListener,Interface for when the login request has started after the user has confirmed they want to approve the third party for access to the scopes listed.,onLoginStart(),Called when the login request has started after the user has confirmed they want to approve the third party for access to the scopes listed
LoginKit.LoginStateController.OnLoginStateChangedListener,Interface for login state change callbacks.,onLoginSucceeded(),Called when login through Snapchat has succeeded
LoginKit.LoginStateController.OnLoginStateChangedListener,Interface for login state change callbacks.,onLoginFailed(),Called when login through Snapchat failed
LoginKit.LoginStateController.OnLoginStateChangedListener,Interface for login state change callbacks.,onLogout(),"Called whenever a user explicitly logs out via clearToken() or whenever the server returns 401, requiring forced logout"
BitmojiKit.Bitmoji,This top-level module provides Bitmoji Kit APIs.,"fetchAvatarUrl(Context context, FetchAvatarUrlCallback callback)",Makes a network request to fetch the URL for the active user’s Bitmoji avatar icon
BitmojiKit.FetchAvatarUrlCallback,This is the callback for Bitmoji avatar URL fetches made by Bitmoji.fetchAvatarUrl.,onSuccess(String avatarUrl),Called after making a successful network request
BitmojiKit.BitmojiFragment,"This is the Android Support Library Fragment for the Bitmoji sticker picker. The FragmentActivity that adds this Fragment must first already implement the OnBitmojiSelectedListener interface. This interface allows the application to be notified whenever a user selects a Bitmoji sticker from the sticker picker. The FragmentActivity may also optionally implement the OnBitmojiSearchFocusChangeListener interface, which listens for users entering or exiting the search field.",Builder builder(),Return value: An instance of BitmojiFragment.Builder
BitmojiKit.BitmojiFragment,"This is the Android Support Library Fragment for the Bitmoji sticker picker. The FragmentActivity that adds this Fragment must first already implement the OnBitmojiSelectedListener interface. This interface allows the application to be notified whenever a user selects a Bitmoji sticker from the sticker picker. The FragmentActivity may also optionally implement the OnBitmojiSearchFocusChangeListener interface, which listens for users entering or exiting the search field.",setFriend(String friendUserId),Method to specify a friend user to feature in Bitmojis. The sticker picker will include Bitmojis co-starring the current user and the provided friend user. The friend will only appear if they have granted the app access to their Bitmoji avatar as well.
BitmojiKit.BitmojiFragment,"This is the Android Support Library Fragment for the Bitmoji sticker picker. The FragmentActivity that adds this Fragment must first already implement the OnBitmojiSelectedListener interface. This interface allows the application to be notified whenever a user selects a Bitmoji sticker from the sticker picker. The FragmentActivity may also optionally implement the OnBitmojiSearchFocusChangeListener interface, which listens for users entering or exiting the search field.",setSearchText(String searchText),"Method to seed the sticker picker's search state (i.e. passing in the search term ""Friday"" will update the sticker picker with Friday-related Bitmoji stickers)."
BitmojiKit.BitmojiFragment,"This is the Android Support Library Fragment for the Bitmoji sticker picker. The FragmentActivity that adds this Fragment must first already implement the OnBitmojiSelectedListener interface. This interface allows the application to be notified whenever a user selects a Bitmoji sticker from the sticker picker. The FragmentActivity may also optionally implement the OnBitmojiSearchFocusChangeListener interface, which listens for users entering or exiting the search field.",attachBitmojiIcon(BitmojiIconFragment bitmojiIconFragment),"Method to register a Bitmoji avatar icon to listen to Bitmoji sticker picker's search state. By linking the Bitmoji avatar icon with the Bitmoji sticker picker, the avatar icon will display a preview of the first search result in the sticker picker every time the search term is updated. This can be used to provide users with a preview of the available Bitmoji stickers when combined with setSearchText."
BitmojiKit.BitmojiFragment.Builder,A builder class used to create an instance of BitmojiFragment with custom configuration.,withShowSearchBar(boolean showSearchBar),Method to set the visibility of the sticker picker's search bar.
BitmojiKit.BitmojiFragment.Builder,A builder class used to create an instance of BitmojiFragment with custom configuration.,withShowSearchPills(boolean showSearchPills),Method to set the visibility of the sticker picker's search suggestions.
BitmojiKit.BitmojiFragment.Builder,A builder class used to create an instance of BitmojiFragment with custom configuration.,withTheme(@StyleRes int theme),Method to set the theme of the sticker picker. See (Bitmoji Kit docs)[/docs/bitmoji-kit/#theme-1] for more details.
BitmojiKit.BitmojiFragment.Builder,A builder class used to create an instance of BitmojiFragment with custom configuration.,build(),Return value:An instance of BitmojiFragment with the applied config
BitmojiKit.OnBitmojiSelectedListener,Your FragmentActivity that adds the BitmojiFragment must implement this interface. This allows the FragmentActivity to be notified whenever a user selects a Bitmoji from the BitmojiFragment.,"onBitmojiSelected(String imageUrl, Drawable previewDrawable)",Called when the user selects a Bitmoji from the BitmojiFragment
BitmojiKit.OnBitmojiSearchFocusChangeListener,Your FragmentActivity that adds the BitmojiFragment may optionally implement this interface. This allows the FragmentActivity to be notified whenever a user enters or exits the search bar inside the BitmojiFragment.,onBitmojiSearchFocusChange(boolean hasFocus),Called when the user enters or exits the search bar inside the BitmojiFragment
BitmojiKit.BitmojiIconFragment,"This is the Android Support Library Fragment for the Bitmoji avatar icon.

The avatar icon is an image of your Bitmoji avatar in your app. If the user is not logged in or does not have a Bitmoji, the element simply shows the Bitmoji logo.",N/A,N/A
