class_name,class_description,method,method_description
com.dropbox.core.v2.sharing.AddFileMemberBuilder,"The request builder returned by DbxUserSharingRequests.addFileMemberBuilder(java.lang.String, java.util.List<com.dropbox.core.v2.sharing.MemberSelector>).

  Use this class to set optional request parameters and complete the
 request. ",withAccessLevel(AccessLevel accessLevel),Set value for optional field.
com.dropbox.core.v2.sharing.AddFileMemberBuilder,"The request builder returned by DbxUserSharingRequests.addFileMemberBuilder(java.lang.String, java.util.List<com.dropbox.core.v2.sharing.MemberSelector>).

  Use this class to set optional request parameters and complete the
 request. ",withAddMessageAsComment(Boolean addMessageAsComment),Set value for optional field.
com.dropbox.core.v2.sharing.AddFileMemberBuilder,"The request builder returned by DbxUserSharingRequests.addFileMemberBuilder(java.lang.String, java.util.List<com.dropbox.core.v2.sharing.MemberSelector>).

  Use this class to set optional request parameters and complete the
 request. ",withCustomMessage(String customMessage),Set value for optional field.
com.dropbox.core.v2.sharing.AddFileMemberBuilder,"The request builder returned by DbxUserSharingRequests.addFileMemberBuilder(java.lang.String, java.util.List<com.dropbox.core.v2.sharing.MemberSelector>).

  Use this class to set optional request parameters and complete the
 request. ",withQuiet(Boolean quiet),Set value for optional field.
com.dropbox.core.v2.sharing.AddFileMemberError,"Errors for DbxUserSharingRequests.addFileMember(String,java.util.List).

  This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance. 

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",accessError(SharingFileAccessError value),"Returns an instance of AddFileMemberError that has its tag set to
 AddFileMemberError.Tag.ACCESS_ERROR."
com.dropbox.core.v2.sharing.AddFileMemberError,"Errors for DbxUserSharingRequests.addFileMember(String,java.util.List).

  This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance. 

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",equals(Object obj),N/A
com.dropbox.core.v2.sharing.AddFileMemberError,"Errors for DbxUserSharingRequests.addFileMember(String,java.util.List).

  This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance. 

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",getAccessErrorValue(),This instance must be tagged as AddFileMemberError.Tag.ACCESS_ERROR.
com.dropbox.core.v2.sharing.AddFileMemberError,"Errors for DbxUserSharingRequests.addFileMember(String,java.util.List).

  This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance. 

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",getUserErrorValue(),This instance must be tagged as AddFileMemberError.Tag.USER_ERROR.
com.dropbox.core.v2.sharing.AddFileMemberError,"Errors for DbxUserSharingRequests.addFileMember(String,java.util.List).

  This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance. 

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",hashCode(),N/A
com.dropbox.core.v2.sharing.AddFileMemberError,"Errors for DbxUserSharingRequests.addFileMember(String,java.util.List).

  This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance. 

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",isAccessError(),"Returns true if this instance has the tag AddFileMemberError.Tag.ACCESS_ERROR, false otherwise."
com.dropbox.core.v2.sharing.AddFileMemberError,"Errors for DbxUserSharingRequests.addFileMember(String,java.util.List).

  This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance. 

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",isInvalidComment(),"Returns true if this instance has the tag AddFileMemberError.Tag.INVALID_COMMENT, false otherwise."
com.dropbox.core.v2.sharing.AddFileMemberError,"Errors for DbxUserSharingRequests.addFileMember(String,java.util.List).

  This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance. 

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",isOther(),"Returns true if this instance has the tag AddFileMemberError.Tag.OTHER,
 false otherwise."
com.dropbox.core.v2.sharing.AddFileMemberError,"Errors for DbxUserSharingRequests.addFileMember(String,java.util.List).

  This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance. 

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",isRateLimit(),"Returns true if this instance has the tag AddFileMemberError.Tag.RATE_LIMIT,
 false otherwise."
com.dropbox.core.v2.sharing.AddFileMemberError,"Errors for DbxUserSharingRequests.addFileMember(String,java.util.List).

  This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance. 

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",isUserError(),"Returns true if this instance has the tag AddFileMemberError.Tag.USER_ERROR,
 false otherwise."
com.dropbox.core.v2.sharing.AddFileMemberError,"Errors for DbxUserSharingRequests.addFileMember(String,java.util.List).

  This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance. 

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",tag(),Returns the tag for this instance.
com.dropbox.core.v2.sharing.AddFileMemberError,"Errors for DbxUserSharingRequests.addFileMember(String,java.util.List).

  This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance. 

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",toString(),N/A
com.dropbox.core.v2.sharing.AddFileMemberError,"Errors for DbxUserSharingRequests.addFileMember(String,java.util.List).

  This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance. 

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",toStringMultiline(),"Returns a String representation of this object formatted for easier
 readability."
com.dropbox.core.v2.sharing.AddFileMemberError,"Errors for DbxUserSharingRequests.addFileMember(String,java.util.List).

  This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance. 

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",userError(SharingUserError value),"Returns an instance of AddFileMemberError that has its tag set to
 AddFileMemberError.Tag.USER_ERROR."
com.dropbox.core.v2.sharing.AddFileMemberError.Tag,Discriminating tag type for AddFileMemberError.,valueOf(String name),Returns the enum constant of this type with the specified name.
com.dropbox.core.v2.sharing.AddFileMemberError.Tag,Discriminating tag type for AddFileMemberError.,values(),"Returns an array containing the constants of this enum type, in
the order they are declared."
com.dropbox.core.v2.sharing.AddFileMemberErrorException,"Exception thrown when the server responds with a AddFileMemberError
 error.

  This exception is raised by DbxUserSharingRequests.addFileMember(String,java.util.List). ",N/A,N/A
com.dropbox.core.v2.sharing.AddFolderMemberBuilder,"The request builder returned by DbxUserSharingRequests.addFolderMemberBuilder(java.lang.String, java.util.List<com.dropbox.core.v2.sharing.AddMember>).

  Use this class to set optional request parameters and complete the
 request. ",start(),Issues the request.
com.dropbox.core.v2.sharing.AddFolderMemberBuilder,"The request builder returned by DbxUserSharingRequests.addFolderMemberBuilder(java.lang.String, java.util.List<com.dropbox.core.v2.sharing.AddMember>).

  Use this class to set optional request parameters and complete the
 request. ",withCustomMessage(String customMessage),Set value for optional field.
com.dropbox.core.v2.sharing.AddFolderMemberBuilder,"The request builder returned by DbxUserSharingRequests.addFolderMemberBuilder(java.lang.String, java.util.List<com.dropbox.core.v2.sharing.AddMember>).

  Use this class to set optional request parameters and complete the
 request. ",withQuiet(Boolean quiet),Set value for optional field.
com.dropbox.core.v2.sharing.AddFolderMemberError,"This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance.

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",accessError(SharedFolderAccessError value),"Returns an instance of AddFolderMemberError that has its tag set
 to AddFolderMemberError.Tag.ACCESS_ERROR."
com.dropbox.core.v2.sharing.AddFolderMemberError,"This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance.

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",badMember(AddMemberSelectorError value),"Returns an instance of AddFolderMemberError that has its tag set
 to AddFolderMemberError.Tag.BAD_MEMBER."
com.dropbox.core.v2.sharing.AddFolderMemberError,"This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance.

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",equals(Object obj),N/A
com.dropbox.core.v2.sharing.AddFolderMemberError,"This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance.

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",getAccessErrorValue(),Unable to access shared folder.
com.dropbox.core.v2.sharing.AddFolderMemberError,"This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance.

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",getBadMemberValue(),"AddFolderMemberArg.getMembers() contains a bad invitation
 recipient."
com.dropbox.core.v2.sharing.AddFolderMemberError,"This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance.

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",getTooManyMembersValue(),The value is the member limit that was reached.
com.dropbox.core.v2.sharing.AddFolderMemberError,"This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance.

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",getTooManyPendingInvitesValue(),The value is the pending invite limit that was reached.
com.dropbox.core.v2.sharing.AddFolderMemberError,"This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance.

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",hashCode(),N/A
com.dropbox.core.v2.sharing.AddFolderMemberError,"This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance.

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",isAccessError(),"Returns true if this instance has the tag AddFolderMemberError.Tag.ACCESS_ERROR, false otherwise."
com.dropbox.core.v2.sharing.AddFolderMemberError,"This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance.

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",isBadMember(),"Returns true if this instance has the tag AddFolderMemberError.Tag.BAD_MEMBER,
 false otherwise."
com.dropbox.core.v2.sharing.AddFolderMemberError,"This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance.

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",isCantShareOutsideTeam(),"Returns true if this instance has the tag AddFolderMemberError.Tag.CANT_SHARE_OUTSIDE_TEAM, false otherwise."
com.dropbox.core.v2.sharing.AddFolderMemberError,"This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance.

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",isEmailUnverified(),"Returns true if this instance has the tag AddFolderMemberError.Tag.EMAIL_UNVERIFIED, false otherwise."
com.dropbox.core.v2.sharing.AddFolderMemberError,"This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance.

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",isInsufficientPlan(),"Returns true if this instance has the tag AddFolderMemberError.Tag.INSUFFICIENT_PLAN, false otherwise."
com.dropbox.core.v2.sharing.AddFolderMemberError,"This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance.

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",isNoPermission(),"Returns true if this instance has the tag AddFolderMemberError.Tag.NO_PERMISSION, false otherwise."
com.dropbox.core.v2.sharing.AddFolderMemberError,"This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance.

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",isOther(),"Returns true if this instance has the tag AddFolderMemberError.Tag.OTHER,
 false otherwise."
com.dropbox.core.v2.sharing.AddFolderMemberError,"This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance.

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",isRateLimit(),"Returns true if this instance has the tag AddFolderMemberError.Tag.RATE_LIMIT,
 false otherwise."
com.dropbox.core.v2.sharing.AddFolderMemberError,"This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance.

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",isTeamFolder(),"Returns true if this instance has the tag AddFolderMemberError.Tag.TEAM_FOLDER, false otherwise."
com.dropbox.core.v2.sharing.AddFolderMemberError,"This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance.

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",isTooManyInvitees(),"Returns true if this instance has the tag AddFolderMemberError.Tag.TOO_MANY_INVITEES, false otherwise."
com.dropbox.core.v2.sharing.AddFolderMemberError,"This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance.

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",isTooManyMembers(),"Returns true if this instance has the tag AddFolderMemberError.Tag.TOO_MANY_MEMBERS, false otherwise."
com.dropbox.core.v2.sharing.AddFolderMemberError,"This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance.

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",isTooManyPendingInvites(),"Returns true if this instance has the tag AddFolderMemberError.Tag.TOO_MANY_PENDING_INVITES, false otherwise."
com.dropbox.core.v2.sharing.AddFolderMemberError,"This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance.

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",tag(),Returns the tag for this instance.
com.dropbox.core.v2.sharing.AddFolderMemberError,"This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance.

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",tooManyMembers(long value),"Returns an instance of AddFolderMemberError that has its tag set
 to AddFolderMemberError.Tag.TOO_MANY_MEMBERS."
com.dropbox.core.v2.sharing.AddFolderMemberError,"This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance.

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",tooManyPendingInvites(long value),"Returns an instance of AddFolderMemberError that has its tag set
 to AddFolderMemberError.Tag.TOO_MANY_PENDING_INVITES."
com.dropbox.core.v2.sharing.AddFolderMemberError,"This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance.

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",toString(),N/A
com.dropbox.core.v2.sharing.AddFolderMemberError,"This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance.

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",toStringMultiline(),"Returns a String representation of this object formatted for easier
 readability."
com.dropbox.core.v2.sharing.AddFolderMemberError.Tag,Discriminating tag type for AddFolderMemberError.,valueOf(String name),Returns the enum constant of this type with the specified name.
com.dropbox.core.v2.sharing.AddFolderMemberError.Tag,Discriminating tag type for AddFolderMemberError.,values(),"Returns an array containing the constants of this enum type, in
the order they are declared."
com.dropbox.core.v2.sharing.AddFolderMemberErrorException,"Exception thrown when the server responds with a AddFolderMemberError
 error.

  This exception is raised by DbxUserSharingRequests.addFolderMember(String,java.util.List). ",N/A,N/A
com.dropbox.core.v2.sharing.AddMember,"The member and type of access the member should have when added to a shared
 folder.",equals(Object obj),N/A
com.dropbox.core.v2.sharing.AddMember,"The member and type of access the member should have when added to a shared
 folder.",getAccessLevel(),"The access level to grant getMember() to the shared
 folder."
com.dropbox.core.v2.sharing.AddMember,"The member and type of access the member should have when added to a shared
 folder.",getMember(),The member to add to the shared folder.
com.dropbox.core.v2.sharing.AddMember,"The member and type of access the member should have when added to a shared
 folder.",hashCode(),N/A
com.dropbox.core.v2.sharing.AddMember,"The member and type of access the member should have when added to a shared
 folder.",toString(),N/A
com.dropbox.core.v2.sharing.AddMember,"The member and type of access the member should have when added to a shared
 folder.",toStringMultiline(),"Returns a String representation of this object formatted for easier
 readability."
com.dropbox.core.v2.sharing.AddMemberSelectorError,"This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance.

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",equals(Object obj),N/A
com.dropbox.core.v2.sharing.AddMemberSelectorError,"This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance.

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",getInvalidDropboxIdValue(),The value is the ID that could not be identified.
com.dropbox.core.v2.sharing.AddMemberSelectorError,"This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance.

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",getInvalidEmailValue(),The value is the e-email address that is malformed.
com.dropbox.core.v2.sharing.AddMemberSelectorError,"This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance.

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",getUnverifiedDropboxIdValue(),"The value is the ID of the Dropbox user with an unverified e-mail
 address."
com.dropbox.core.v2.sharing.AddMemberSelectorError,"This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance.

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",hashCode(),N/A
com.dropbox.core.v2.sharing.AddMemberSelectorError,"This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance.

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",invalidDropboxId(String value),"Returns an instance of AddMemberSelectorError that has its tag
 set to AddMemberSelectorError.Tag.INVALID_DROPBOX_ID."
com.dropbox.core.v2.sharing.AddMemberSelectorError,"This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance.

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",invalidEmail(String value),"Returns an instance of AddMemberSelectorError that has its tag
 set to AddMemberSelectorError.Tag.INVALID_EMAIL."
com.dropbox.core.v2.sharing.AddMemberSelectorError,"This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance.

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",isAutomaticGroup(),"Returns true if this instance has the tag AddMemberSelectorError.Tag.AUTOMATIC_GROUP, false otherwise."
