class_name,class_description,method,method_description,data_type
com.amplitude.api.Amplitude,"Amplitude This is the main Amplitude class that manages SDK instances.  NOTE: All of the methods except getInstance() have been deprecated. Please call those methods on the AmplitudeClient instance instead, for example: Amplitude.getInstance().logEvent();",startSession(),Deprecated.,static void
com.amplitude.api.Amplitude,"Amplitude This is the main Amplitude class that manages SDK instances.  NOTE: All of the methods except getInstance() have been deprecated. Please call those methods on the AmplitudeClient instance instead, for example: Amplitude.getInstance().logEvent();",uploadEvents(),Deprecated.,static void
com.amplitude.api.Amplitude,"Amplitude This is the main Amplitude class that manages SDK instances.  NOTE: All of the methods except getInstance() have been deprecated. Please call those methods on the AmplitudeClient instance instead, for example: Amplitude.getInstance().logEvent();",useAdvertisingIdForDeviceId(),Deprecated.,static void
com.amplitude.api.Amplitude,"Amplitude This is the main Amplitude class that manages SDK instances.  NOTE: All of the methods except getInstance() have been deprecated. Please call those methods on the AmplitudeClient instance instead, for example: Amplitude.getInstance().logEvent();",disableLocationListening(),Deprecated.,static void
com.amplitude.api.Amplitude,"Amplitude This is the main Amplitude class that manages SDK instances.  NOTE: All of the methods except getInstance() have been deprecated. Please call those methods on the AmplitudeClient instance instead, for example: Amplitude.getInstance().logEvent();",enableLocationListening(),Deprecated.,static void
com.amplitude.api.Amplitude,"Amplitude This is the main Amplitude class that manages SDK instances.  NOTE: All of the methods except getInstance() have been deprecated. Please call those methods on the AmplitudeClient instance instead, for example: Amplitude.getInstance().logEvent();",enableNewDeviceIdPerInstall(boolean newDeviceIdPerInstall),Deprecated.,static void
com.amplitude.api.Amplitude,"Amplitude This is the main Amplitude class that manages SDK instances.  NOTE: All of the methods except getInstance() have been deprecated. Please call those methods on the AmplitudeClient instance instead, for example: Amplitude.getInstance().logEvent();",endSession(),Deprecated.,static void
com.amplitude.api.Amplitude,"Amplitude This is the main Amplitude class that manages SDK instances.  NOTE: All of the methods except getInstance() have been deprecated. Please call those methods on the AmplitudeClient instance instead, for example: Amplitude.getInstance().logEvent();",getDeviceId(),Deprecated.,static java.lang.String
com.amplitude.api.Amplitude,"Amplitude This is the main Amplitude class that manages SDK instances.  NOTE: All of the methods except getInstance() have been deprecated. Please call those methods on the AmplitudeClient instance instead, for example: Amplitude.getInstance().logEvent();",getInstance(),Gets the default instance.,static AmplitudeClient
com.amplitude.api.Amplitude,"Amplitude This is the main Amplitude class that manages SDK instances.  NOTE: All of the methods except getInstance() have been deprecated. Please call those methods on the AmplitudeClient instance instead, for example: Amplitude.getInstance().logEvent();","initialize(android.content.Context context,          java.lang.String apiKey)",Deprecated.,static void
com.amplitude.api.Amplitude,"Amplitude This is the main Amplitude class that manages SDK instances.  NOTE: All of the methods except getInstance() have been deprecated. Please call those methods on the AmplitudeClient instance instead, for example: Amplitude.getInstance().logEvent();","initialize(android.content.Context context,          java.lang.String apiKey,          java.lang.String userId)",Deprecated.,static void
com.amplitude.api.Amplitude,"Amplitude This is the main Amplitude class that manages SDK instances.  NOTE: All of the methods except getInstance() have been deprecated. Please call those methods on the AmplitudeClient instance instead, for example: Amplitude.getInstance().logEvent();",logEvent(java.lang.String eventType),Deprecated.,static void
com.amplitude.api.Amplitude,"Amplitude This is the main Amplitude class that manages SDK instances.  NOTE: All of the methods except getInstance() have been deprecated. Please call those methods on the AmplitudeClient instance instead, for example: Amplitude.getInstance().logEvent();","logEvent(java.lang.String eventType,        org.json.JSONObject eventProperties)",Deprecated.,static void
com.amplitude.api.Amplitude,"Amplitude This is the main Amplitude class that manages SDK instances.  NOTE: All of the methods except getInstance() have been deprecated. Please call those methods on the AmplitudeClient instance instead, for example: Amplitude.getInstance().logEvent();",logRevenue(double amount),Deprecated.,static void
com.amplitude.api.Amplitude,"Amplitude This is the main Amplitude class that manages SDK instances.  NOTE: All of the methods except getInstance() have been deprecated. Please call those methods on the AmplitudeClient instance instead, for example: Amplitude.getInstance().logEvent();","logRevenue(java.lang.String productId,          int quantity,          double price)",Deprecated.,static void
com.amplitude.api.Amplitude,"Amplitude This is the main Amplitude class that manages SDK instances.  NOTE: All of the methods except getInstance() have been deprecated. Please call those methods on the AmplitudeClient instance instead, for example: Amplitude.getInstance().logEvent();","logRevenue(java.lang.String productId,          int quantity,          double price,          java.lang.String receipt,          java.lang.String receiptSignature)",Deprecated.,static void
com.amplitude.api.Amplitude,"Amplitude This is the main Amplitude class that manages SDK instances.  NOTE: All of the methods except getInstance() have been deprecated. Please call those methods on the AmplitudeClient instance instead, for example: Amplitude.getInstance().logEvent();",setOptOut(boolean optOut),Deprecated.,static void
com.amplitude.api.Amplitude,"Amplitude This is the main Amplitude class that manages SDK instances.  NOTE: All of the methods except getInstance() have been deprecated. Please call those methods on the AmplitudeClient instance instead, for example: Amplitude.getInstance().logEvent();",setSessionTimeoutMillis(long sessionTimeoutMillis),Deprecated.,static void
com.amplitude.api.Amplitude,"Amplitude This is the main Amplitude class that manages SDK instances.  NOTE: All of the methods except getInstance() have been deprecated. Please call those methods on the AmplitudeClient instance instead, for example: Amplitude.getInstance().logEvent();",setUserId(java.lang.String userId),Deprecated.,static void
com.amplitude.api.Amplitude,"Amplitude This is the main Amplitude class that manages SDK instances.  NOTE: All of the methods except getInstance() have been deprecated. Please call those methods on the AmplitudeClient instance instead, for example: Amplitude.getInstance().logEvent();",setUserProperties(org.json.JSONObject userProperties),Deprecated.,static void
com.amplitude.api.Amplitude,"Amplitude This is the main Amplitude class that manages SDK instances.  NOTE: All of the methods except getInstance() have been deprecated. Please call those methods on the AmplitudeClient instance instead, for example: Amplitude.getInstance().logEvent();","setUserProperties(org.json.JSONObject userProperties,                 boolean replace)",Deprecated.,static void
com.amplitude.api.Amplitude,"Amplitude This is the main Amplitude class that manages SDK instances.  NOTE: All of the methods except getInstance() have been deprecated. Please call those methods on the AmplitudeClient instance instead, for example: Amplitude.getInstance().logEvent();",startSession(),Deprecated.,static void
com.amplitude.api.Amplitude,"Amplitude This is the main Amplitude class that manages SDK instances.  NOTE: All of the methods except getInstance() have been deprecated. Please call those methods on the AmplitudeClient instance instead, for example: Amplitude.getInstance().logEvent();",uploadEvents(),Deprecated.,static void
com.amplitude.api.Amplitude,"Amplitude This is the main Amplitude class that manages SDK instances.  NOTE: All of the methods except getInstance() have been deprecated. Please call those methods on the AmplitudeClient instance instead, for example: Amplitude.getInstance().logEvent();",useAdvertisingIdForDeviceId(),Deprecated.,static void
com.amplitude.api.AmplitudeClient,"AmplitudeClient This is the SDK instance class that contains all of the SDK functionality. Note: call the methods on the default shared instance in the Amplitude class, for example: Amplitude.getInstance().logEvent(); Many of the SDK functions return the SDK instance back, allowing you to chain multiple method calls together, for example: Amplitude.getInstance().initialize(this, ""APIKEY"").enableForegroundTracking(getApplication())",bytesToHexString(byte[] bytes),Internal method to convert bytes to hex string,protected java.lang.String
com.amplitude.api.AmplitudeClient,"AmplitudeClient This is the SDK instance class that contains all of the SDK functionality. Note: call the methods on the default shared instance in the Amplitude class, for example: Amplitude.getInstance().logEvent(); Many of the SDK functions return the SDK instance back, allowing you to chain multiple method calls together, for example: Amplitude.getInstance().initialize(this, ""APIKEY"").enableForegroundTracking(getApplication())",clearUserProperties(),Clear user properties.,void
com.amplitude.api.AmplitudeClient,"AmplitudeClient This is the SDK instance class that contains all of the SDK functionality. Note: call the methods on the default shared instance in the Amplitude class, for example: Amplitude.getInstance().logEvent(); Many of the SDK functions return the SDK instance back, allowing you to chain multiple method calls together, for example: Amplitude.getInstance().initialize(this, ""APIKEY"").enableForegroundTracking(getApplication())",contextAndApiKeySet(java.lang.String methodName),Internal method to check whether application context and api key are set,protected boolean
com.amplitude.api.AmplitudeClient,"AmplitudeClient This is the SDK instance class that contains all of the SDK functionality. Note: call the methods on the default shared instance in the Amplitude class, for example: Amplitude.getInstance().logEvent(); Many of the SDK functions return the SDK instance back, allowing you to chain multiple method calls together, for example: Amplitude.getInstance().initialize(this, ""APIKEY"").enableForegroundTracking(getApplication())",disableLocationListening(),Disable location listening in the SDK.,AmplitudeClient
com.amplitude.api.AmplitudeClient,"AmplitudeClient This is the SDK instance class that contains all of the SDK functionality. Note: call the methods on the default shared instance in the Amplitude class, for example: Amplitude.getInstance().logEvent(); Many of the SDK functions return the SDK instance back, allowing you to chain multiple method calls together, for example: Amplitude.getInstance().initialize(this, ""APIKEY"").enableForegroundTracking(getApplication())",enableForegroundTracking(android.app.Application app),Enable foreground tracking for the SDK.,AmplitudeClient
com.amplitude.api.AmplitudeClient,"AmplitudeClient This is the SDK instance class that contains all of the SDK functionality. Note: call the methods on the default shared instance in the Amplitude class, for example: Amplitude.getInstance().logEvent(); Many of the SDK functions return the SDK instance back, allowing you to chain multiple method calls together, for example: Amplitude.getInstance().initialize(this, ""APIKEY"").enableForegroundTracking(getApplication())",enableLocationListening(),Enable location listening in the SDK.,AmplitudeClient
com.amplitude.api.AmplitudeClient,"AmplitudeClient This is the SDK instance class that contains all of the SDK functionality. Note: call the methods on the default shared instance in the Amplitude class, for example: Amplitude.getInstance().logEvent(); Many of the SDK functions return the SDK instance back, allowing you to chain multiple method calls together, for example: Amplitude.getInstance().initialize(this, ""APIKEY"").enableForegroundTracking(getApplication())",enableLogging(boolean enableLogging),Enable/disable message logging by the SDK.,AmplitudeClient
com.amplitude.api.AmplitudeClient,"AmplitudeClient This is the SDK instance class that contains all of the SDK functionality. Note: call the methods on the default shared instance in the Amplitude class, for example: Amplitude.getInstance().logEvent(); Many of the SDK functions return the SDK instance back, allowing you to chain multiple method calls together, for example: Amplitude.getInstance().initialize(this, ""APIKEY"").enableForegroundTracking(getApplication())",enableNewDeviceIdPerInstall(boolean newDeviceIdPerInstall),Deprecated.,AmplitudeClient
com.amplitude.api.AmplitudeClient,"AmplitudeClient This is the SDK instance class that contains all of the SDK functionality. Note: call the methods on the default shared instance in the Amplitude class, for example: Amplitude.getInstance().logEvent(); Many of the SDK functions return the SDK instance back, allowing you to chain multiple method calls together, for example: Amplitude.getInstance().initialize(this, ""APIKEY"").enableForegroundTracking(getApplication())",getCurrentTimeMillis(),Internal method to fetch the current time millis.,protected long
com.amplitude.api.AmplitudeClient,"AmplitudeClient This is the SDK instance class that contains all of the SDK functionality. Note: call the methods on the default shared instance in the Amplitude class, for example: Amplitude.getInstance().logEvent(); Many of the SDK functions return the SDK instance back, allowing you to chain multiple method calls together, for example: Amplitude.getInstance().initialize(this, ""APIKEY"").enableForegroundTracking(getApplication())",getDeviceId(),Get the current device id.,java.lang.String
com.amplitude.api.AmplitudeClient,"AmplitudeClient This is the SDK instance class that contains all of the SDK functionality. Note: call the methods on the default shared instance in the Amplitude class, for example: Amplitude.getInstance().logEvent(); Many of the SDK functions return the SDK instance back, allowing you to chain multiple method calls together, for example: Amplitude.getInstance().initialize(this, ""APIKEY"").enableForegroundTracking(getApplication())",getInstance(),Gets the default AmplitudeClient instance.,static AmplitudeClient
com.amplitude.api.AmplitudeClient,"AmplitudeClient This is the SDK instance class that contains all of the SDK functionality. Note: call the methods on the default shared instance in the Amplitude class, for example: Amplitude.getInstance().logEvent(); Many of the SDK functions return the SDK instance back, allowing you to chain multiple method calls together, for example: Amplitude.getInstance().initialize(this, ""APIKEY"").enableForegroundTracking(getApplication())",getSessionId(),Gets the current session id.,long
com.amplitude.api.AmplitudeClient,"AmplitudeClient This is the SDK instance class that contains all of the SDK functionality. Note: call the methods on the default shared instance in the Amplitude class, for example: Amplitude.getInstance().logEvent(); Many of the SDK functions return the SDK instance back, allowing you to chain multiple method calls together, for example: Amplitude.getInstance().initialize(this, ""APIKEY"").enableForegroundTracking(getApplication())",getUserId(),Gets the user's id.,java.lang.String
com.amplitude.api.AmplitudeClient,"AmplitudeClient This is the SDK instance class that contains all of the SDK functionality. Note: call the methods on the default shared instance in the Amplitude class, for example: Amplitude.getInstance().logEvent(); Many of the SDK functions return the SDK instance back, allowing you to chain multiple method calls together, for example: Amplitude.getInstance().initialize(this, ""APIKEY"").enableForegroundTracking(getApplication())",identify(Identify identify),Identify.,void
com.amplitude.api.AmplitudeClient,"AmplitudeClient This is the SDK instance class that contains all of the SDK functionality. Note: call the methods on the default shared instance in the Amplitude class, for example: Amplitude.getInstance().logEvent(); Many of the SDK functions return the SDK instance back, allowing you to chain multiple method calls together, for example: Amplitude.getInstance().initialize(this, ""APIKEY"").enableForegroundTracking(getApplication())","initialize(android.content.Context context,          java.lang.String apiKey)",Initialize the Amplitude SDK with the Android application context and your Amplitude App API key.,AmplitudeClient
com.amplitude.api.AmplitudeClient,"AmplitudeClient This is the SDK instance class that contains all of the SDK functionality. Note: call the methods on the default shared instance in the Amplitude class, for example: Amplitude.getInstance().logEvent(); Many of the SDK functions return the SDK instance back, allowing you to chain multiple method calls together, for example: Amplitude.getInstance().initialize(this, ""APIKEY"").enableForegroundTracking(getApplication())","initialize(android.content.Context context,          java.lang.String apiKey,          java.lang.String userId)","Initialize the Amplitude SDK with the Android application context, your Amplitude App API key, and a user ID for the current user.",AmplitudeClient
com.amplitude.api.AmplitudeClient,"AmplitudeClient This is the SDK instance class that contains all of the SDK functionality. Note: call the methods on the default shared instance in the Amplitude class, for example: Amplitude.getInstance().logEvent(); Many of the SDK functions return the SDK instance back, allowing you to chain multiple method calls together, for example: Amplitude.getInstance().initialize(this, ""APIKEY"").enableForegroundTracking(getApplication())",isOptedOut(),Returns whether or not the user is opted out of tracking.,boolean
com.amplitude.api.AmplitudeClient,"AmplitudeClient This is the SDK instance class that contains all of the SDK functionality. Note: call the methods on the default shared instance in the Amplitude class, for example: Amplitude.getInstance().logEvent(); Many of the SDK functions return the SDK instance back, allowing you to chain multiple method calls together, for example: Amplitude.getInstance().initialize(this, ""APIKEY"").enableForegroundTracking(getApplication())",logEvent(java.lang.String eventType),Log an event with the specified event type.,void
com.amplitude.api.AmplitudeClient,"AmplitudeClient This is the SDK instance class that contains all of the SDK functionality. Note: call the methods on the default shared instance in the Amplitude class, for example: Amplitude.getInstance().logEvent(); Many of the SDK functions return the SDK instance back, allowing you to chain multiple method calls together, for example: Amplitude.getInstance().initialize(this, ""APIKEY"").enableForegroundTracking(getApplication())","logEvent(java.lang.String eventType,        org.json.JSONObject eventProperties)",Log an event with the specified event type and event properties.,void
com.amplitude.api.AmplitudeClient,"AmplitudeClient This is the SDK instance class that contains all of the SDK functionality. Note: call the methods on the default shared instance in the Amplitude class, for example: Amplitude.getInstance().logEvent(); Many of the SDK functions return the SDK instance back, allowing you to chain multiple method calls together, for example: Amplitude.getInstance().initialize(this, ""APIKEY"").enableForegroundTracking(getApplication())","logEvent(java.lang.String eventType,        org.json.JSONObject eventProperties,        boolean outOfSession)","Log an event with the specified event type, event properties, with optional out of session flag.",void
com.amplitude.api.AmplitudeClient,"AmplitudeClient This is the SDK instance class that contains all of the SDK functionality. Note: call the methods on the default shared instance in the Amplitude class, for example: Amplitude.getInstance().logEvent(); Many of the SDK functions return the SDK instance back, allowing you to chain multiple method calls together, for example: Amplitude.getInstance().initialize(this, ""APIKEY"").enableForegroundTracking(getApplication())","logEvent(java.lang.String eventType,        org.json.JSONObject eventProperties,        org.json.JSONObject groups)","Log an event with the specified event type, event properties, and groups.",void
com.amplitude.api.AmplitudeClient,"AmplitudeClient This is the SDK instance class that contains all of the SDK functionality. Note: call the methods on the default shared instance in the Amplitude class, for example: Amplitude.getInstance().logEvent(); Many of the SDK functions return the SDK instance back, allowing you to chain multiple method calls together, for example: Amplitude.getInstance().initialize(this, ""APIKEY"").enableForegroundTracking(getApplication())","logEvent(java.lang.String eventType,        org.json.JSONObject eventProperties,        org.json.JSONObject groups,        boolean outOfSession)","Log event with the specified event type, event properties, groups, with optional out of session flag.",void
com.amplitude.api.AmplitudeClient,"AmplitudeClient This is the SDK instance class that contains all of the SDK functionality. Note: call the methods on the default shared instance in the Amplitude class, for example: Amplitude.getInstance().logEvent(); Many of the SDK functions return the SDK instance back, allowing you to chain multiple method calls together, for example: Amplitude.getInstance().initialize(this, ""APIKEY"").enableForegroundTracking(getApplication())","logEvent(java.lang.String eventType,        org.json.JSONObject eventProperties,        org.json.JSONObject apiProperties,        org.json.JSONObject userProperties,        org.json.JSONObject groups,        long timestamp,        boolean outOfSession)",Log event.,protected long
com.amplitude.api.AmplitudeClient,"AmplitudeClient This is the SDK instance class that contains all of the SDK functionality. Note: call the methods on the default shared instance in the Amplitude class, for example: Amplitude.getInstance().logEvent(); Many of the SDK functions return the SDK instance back, allowing you to chain multiple method calls together, for example: Amplitude.getInstance().initialize(this, ""APIKEY"").enableForegroundTracking(getApplication())","logEventAsync(java.lang.String eventType,             org.json.JSONObject eventProperties,             org.json.JSONObject apiProperties,             org.json.JSONObject userProperties,             org.json.JSONObject groups,             long timestamp,             boolean outOfSession)",Log event async.,protected void
com.amplitude.api.AmplitudeClient,"AmplitudeClient This is the SDK instance class that contains all of the SDK functionality. Note: call the methods on the default shared instance in the Amplitude class, for example: Amplitude.getInstance().logEvent(); Many of the SDK functions return the SDK instance back, allowing you to chain multiple method calls together, for example: Amplitude.getInstance().initialize(this, ""APIKEY"").enableForegroundTracking(getApplication())",logEventSync(java.lang.String eventType),Log an event with the specified event type.,void
com.amplitude.api.AmplitudeClient,"AmplitudeClient This is the SDK instance class that contains all of the SDK functionality. Note: call the methods on the default shared instance in the Amplitude class, for example: Amplitude.getInstance().logEvent(); Many of the SDK functions return the SDK instance back, allowing you to chain multiple method calls together, for example: Amplitude.getInstance().initialize(this, ""APIKEY"").enableForegroundTracking(getApplication())","logEventSync(java.lang.String eventType,            org.json.JSONObject eventProperties)",Log an event with the specified event type and event properties.,void
com.amplitude.api.AmplitudeClient,"AmplitudeClient This is the SDK instance class that contains all of the SDK functionality. Note: call the methods on the default shared instance in the Amplitude class, for example: Amplitude.getInstance().logEvent(); Many of the SDK functions return the SDK instance back, allowing you to chain multiple method calls together, for example: Amplitude.getInstance().initialize(this, ""APIKEY"").enableForegroundTracking(getApplication())","logEventSync(java.lang.String eventType,            org.json.JSONObject eventProperties,            boolean outOfSession)","Log an event with the specified event type, event properties, with optional out of session flag.",void
com.amplitude.api.AmplitudeClient,"AmplitudeClient This is the SDK instance class that contains all of the SDK functionality. Note: call the methods on the default shared instance in the Amplitude class, for example: Amplitude.getInstance().logEvent(); Many of the SDK functions return the SDK instance back, allowing you to chain multiple method calls together, for example: Amplitude.getInstance().initialize(this, ""APIKEY"").enableForegroundTracking(getApplication())","logEventSync(java.lang.String eventType,            org.json.JSONObject eventProperties,            org.json.JSONObject group)","Log an event with the specified event type, event properties, and groups.",void
com.amplitude.api.AmplitudeClient,"AmplitudeClient This is the SDK instance class that contains all of the SDK functionality. Note: call the methods on the default shared instance in the Amplitude class, for example: Amplitude.getInstance().logEvent(); Many of the SDK functions return the SDK instance back, allowing you to chain multiple method calls together, for example: Amplitude.getInstance().initialize(this, ""APIKEY"").enableForegroundTracking(getApplication())","logEventSync(java.lang.String eventType,            org.json.JSONObject eventProperties,            org.json.JSONObject groups,            boolean outOfSession)","Log event with the specified event type, event properties, groups, with optional out of session flag.",void
com.amplitude.api.AmplitudeClient,"AmplitudeClient This is the SDK instance class that contains all of the SDK functionality. Note: call the methods on the default shared instance in the Amplitude class, for example: Amplitude.getInstance().logEvent(); Many of the SDK functions return the SDK instance back, allowing you to chain multiple method calls together, for example: Amplitude.getInstance().initialize(this, ""APIKEY"").enableForegroundTracking(getApplication())",logRevenue(double amount),Deprecated. - use logRevenueV2 instead,void
com.amplitude.api.AmplitudeClient,"AmplitudeClient This is the SDK instance class that contains all of the SDK functionality. Note: call the methods on the default shared instance in the Amplitude class, for example: Amplitude.getInstance().logEvent(); Many of the SDK functions return the SDK instance back, allowing you to chain multiple method calls together, for example: Amplitude.getInstance().initialize(this, ""APIKEY"").enableForegroundTracking(getApplication())","logRevenue(java.lang.String productId,          int quantity,          double price)",Deprecated. - use logRevenueV2 instead,void
com.amplitude.api.AmplitudeClient,"AmplitudeClient This is the SDK instance class that contains all of the SDK functionality. Note: call the methods on the default shared instance in the Amplitude class, for example: Amplitude.getInstance().logEvent(); Many of the SDK functions return the SDK instance back, allowing you to chain multiple method calls together, for example: Amplitude.getInstance().initialize(this, ""APIKEY"").enableForegroundTracking(getApplication())","logRevenue(java.lang.String productId,          int quantity,          double price,          java.lang.String receipt,          java.lang.String receiptSignature)",Deprecated. - use logRevenueV2 instead,void
com.amplitude.api.AmplitudeClient,"AmplitudeClient This is the SDK instance class that contains all of the SDK functionality. Note: call the methods on the default shared instance in the Amplitude class, for example: Amplitude.getInstance().logEvent(); Many of the SDK functions return the SDK instance back, allowing you to chain multiple method calls together, for example: Amplitude.getInstance().initialize(this, ""APIKEY"").enableForegroundTracking(getApplication())",logRevenueV2(Revenue revenue),Log revenue v2.,void
com.amplitude.api.AmplitudeClient,"AmplitudeClient This is the SDK instance class that contains all of the SDK functionality. Note: call the methods on the default shared instance in the Amplitude class, for example: Amplitude.getInstance().logEvent(); Many of the SDK functions return the SDK instance back, allowing you to chain multiple method calls together, for example: Amplitude.getInstance().initialize(this, ""APIKEY"").enableForegroundTracking(getApplication())","makeEventUploadPostRequest(okhttp3.OkHttpClient client,                          java.lang.String events,                          long maxEventId,                          long maxIdentifyId)",Internal method to generate the event upload post request.,protected void
com.amplitude.api.AmplitudeClient,"AmplitudeClient This is the SDK instance class that contains all of the SDK functionality. Note: call the methods on the default shared instance in the Amplitude class, for example: Amplitude.getInstance().logEvent(); Many of the SDK functions return the SDK instance back, allowing you to chain multiple method calls together, for example: Amplitude.getInstance().initialize(this, ""APIKEY"").enableForegroundTracking(getApplication())","mergeEventsAndIdentifys(java.util.List<org.json.JSONObject> events,                       java.util.List<org.json.JSONObject> identifys,                       long numEvents)",Internal method to merge unsent events and identifies into a single array by sequence number.,"protected android.util.Pair<android.util.Pair<java.lang.Long,java.lang.Long>,org.json.JSONArray>"
com.amplitude.api.AmplitudeClient,"AmplitudeClient This is the SDK instance class that contains all of the SDK functionality. Note: call the methods on the default shared instance in the Amplitude class, for example: Amplitude.getInstance().logEvent(); Many of the SDK functions return the SDK instance back, allowing you to chain multiple method calls together, for example: Amplitude.getInstance().initialize(this, ""APIKEY"").enableForegroundTracking(getApplication())",replaceWithJSONNull(java.lang.Object obj),Internal method to replace null event fields with JSON null object.,protected java.lang.Object
com.amplitude.api.AmplitudeClient,"AmplitudeClient This is the SDK instance class that contains all of the SDK functionality. Note: call the methods on the default shared instance in the Amplitude class, for example: Amplitude.getInstance().logEvent(); Many of the SDK functions return the SDK instance back, allowing you to chain multiple method calls together, for example: Amplitude.getInstance().initialize(this, ""APIKEY"").enableForegroundTracking(getApplication())",runOnLogThread(java.lang.Runnable r),N/A,protected void
