class_name,class_description,method,method_description,return_type
account,N/A - VK has no Class Descriptions,setonline,Marks the current user as online for 5 minutes.,In case of success returns 1. 
account,N/A - VK has no Class Descriptions,setpushsettings,Change push settings.,In case of success returns 1. 
account,N/A - VK has no Class Descriptions,setsilencemode,Mutes push notifications for the set period of time.,In case of success returns 1. 
account,N/A - VK has no Class Descriptions,unban,N/A,N/A
account,N/A - VK has no Class Descriptions,unregisterdevice,Unsubscribes a device from push notifications.,In case of success returns 1. 
appwidgets,N/A - VK has no Class Descriptions,getappimageuploadserver,Returns a URL for uploading a photo to the app collection for community app widgets.,"Returns an object with the only upload_url field. To upload an image, generate POST-request to upload_url with a file in photo field. Then call appWidgets.saveAppImage method. 
"
appwidgets,N/A - VK has no Class Descriptions,getappimages,Returns an app collection of images for community app widgets.,"Returns total results count in count (integer) and  items (array) array with objects describing images. 
Each objects of the items array contains the following fields: 
id
(string)Image ID. type 
(string)Image type. Possible values: 

24x24; 
50x50; 
160x160; 
160x240; 
510x128. images  (array)Array of image copies. Each objects of the array contains the following fields: 

url (string) — copy URL; 
width (integer) — width in px; 
height (integer) — height in px.  
"
appwidgets,N/A - VK has no Class Descriptions,getgroupimageuploadserver,Returns a URL for uploading a photo to the community collection for community app widgets.,"Returns an object with the only upload_url field. To upload an image, generate POST-request to upload_url with a file in photo field. Then call appWidgets.saveAppImage method. 
"
appwidgets,N/A - VK has no Class Descriptions,getgroupimages,Returns a community collection of images for community app widgets.,"Returns total results count in count (integer) and  items (array) array with objects describing images. 
Each objects of the items array contains the following fields: 
id
(string)Image ID. type 
(string)Image type. Possible values: 

24x24; 
50x50; 
160x160; 
160x240; 
510x128. images  (array)Array of image copies. Each objects of the array contains the following fields: 

url (string) — copy URL; 
width (integer) — width in px; 
height (integer) — height in px.  "
appwidgets,N/A - VK has no Class Descriptions,getimagesbyid,Returns an image for community app widgets by its ID.,"Returns an object which contains the following fields: 
id
(string)Image ID. type 
(string)Image type. Possible values: 

24x24; 
50x50; 
160x160; 
160x240; 
510x128. images  (array)Array of image copies. Each objects of the array contains the following fields: 

url (string) — copy URL; 
width (integer) — width in px; 
height (integer) — height in px.  
"
appwidgets,N/A - VK has no Class Descriptions,saveappimage,Allows to save image into app collection for community app widgets.,"Returns an object which contains the following fields: 
id
(string)Image ID. type 
(string)Image type. Possible values: 

24x24; 
50x50; 
160x160; 
160x240; 
510x128. images  (array)Array of image copies. Each objects of the array contains the following fields: 

url (string) — copy URL; 
width (integer) — width in px; 
height (integer) — height in px.  "
appwidgets,N/A - VK has no Class Descriptions,savegroupimage,Allows to save image into community collection for community app widgets.,"Returns an object which contains the following fields: 
id
(string)Image ID. type 
(string)Image type. Possible values: 

24x24; 
50x50; 
160x160; 
160x240; 
510x128. images  (array)Array of image copies. Each objects of the array contains the following fields: 

url (string) — copy URL; 
width (integer) — width in px; 
height (integer) — height in px.  "
appwidgets,N/A - VK has no Class Descriptions,update,Allows to update community app widget.,Returns 1. 
apps,N/A - VK has no Class Descriptions,deleteapprequests,Deletes all request notifications from the current app.,Returns 1. 
apps,N/A - VK has no Class Descriptions,get,Returns applications data.,Returns total results number in count field and an array of app objects in items field. 
apps,N/A - VK has no Class Descriptions,getcatalog,Returns a list of applications (apps) available to users in the App Catalog.,"Returns total results number in count field and an array of app objects in items field. 
There can be no more than 60 requests per minute from one IP or ID. "
apps,N/A - VK has no Class Descriptions,getfriendslist,Creates friends list for requests and invites in current app.,Returns total results number in count field and an array of users in items field. 
apps,N/A - VK has no Class Descriptions,getleaderboard,Returns players rating in the game.,Returns list of user friends sorted by level or points. 
apps,N/A - VK has no Class Descriptions,getscopes,N/A,N/A
apps,N/A - VK has no Class Descriptions,getscore,Returns user score in app.,Returns user's score number. 
apps,N/A - VK has no Class Descriptions,promohasactivegift,N/A,N/A
apps,N/A - VK has no Class Descriptions,promousegift,N/A,N/A
apps,N/A - VK has no Class Descriptions,sendrequest,"Sends a request to another user in an app that uses VK authorization. 
The method requires the use of a confirmation window. Sending requests in applications that are not from Mobile Platform is available to app's administrators only.","If executed successfully, returns the created request's id, for example: 10013. "
auth,N/A - VK has no Class Descriptions,checkphone,Checks a user's phone number for correctness.,Returns 1 if the phone number is correct; otherwise returns 0. 
auth,N/A - VK has no Class Descriptions,restore,"Allows to restore account access using a code received via SMS. 
 This method is only available for apps with Direct authorization access. ","In case of success the method returns an object containing following fields: 

success — 1; 
sid — parameter required to get access by code. 

To finish the restoration refer to the following address:  https://oauth.vk.com/token?grant_type=restore_code&client_id={Application ID}&client_secret={Secret key}&username={Phone number}&scope={Permissions list}&sid={Parameter received with this method}&code={Received SMS code} 
Parameters list: 

grant_type — requires to send  the value: restore_code; 
client_id — application ID; 
client_secret — app's secret key; 
username — phone number used for restoration; 
scope — list of permissions separated with commas; 
sid — session ID received after running this method; 
code — received SMS code. 

While authorizing through restore_code OAuth will return the same data as usual authorization with an extra change_password_hash parameter required for account.changePassword method. "
board,N/A - VK has no Class Descriptions,addtopic,Creates a new topic on a community's discussion board.,Returns the ID of the created topic. 
board,N/A - VK has no Class Descriptions,closetopic,Closes a topic on a community's discussion board so that comments cannot be posted.,Returns 1 if succeeded. 
board,N/A - VK has no Class Descriptions,createcomment,Adds a comment on a topic on a community's discussion board.,Returns the ID of the created comment . 
board,N/A - VK has no Class Descriptions,deletecomment,Deletes a comment on a topic on a community's discussion board.,Returns 1 if succeeded. 
board,N/A - VK has no Class Descriptions,deletetopic,Deletes a topic from a community's discussion board.,Returns 1 if succeeded. 
board,N/A - VK has no Class Descriptions,editcomment,Edits a comment on a topic on a community's discussion board.,Returns 1 if succeeded. 
board,N/A - VK has no Class Descriptions,edittopic,Edits the title of a topic on a community's discussion board.,Returns 1 if succeeded. 
board,N/A - VK has no Class Descriptions,fixtopic,Pins a topic (fixes its place) to the top of a community's discussion board.,Returns 1 if succeeded. 
board,N/A - VK has no Class Descriptions,getcomments,Returns a list of comments on a topic on a community's discussion board.,"Returns an object containing a comments field and poll field (if there is a poll in the topic) and profiles field (if extended is set to 1). 
Items field contains the total number of comments and an array of  comment objects. 
If there is a poll in the topic, returns poll field that contains an array with the following fields: 

owner_id — Poll owner ID; 
poll_id — Poll ID; 
created — Date (in Unix time) the poll was created; 
is_closed — Whether the poll is closed  so that no one can participate (0 — not closed; 1 — closed); 
question — Text of the question; 
votes — Total number of voters; 
answer_id — ID of the current user's answer; if the user has not yet participated in the poll, then 0; 
answers — Array with objects containing answer choices for the poll question: 

id — Answer ID; 
text — Text of the answer; 
votes — Number of users who voted for this answer; 
rate — Rating of this answer as a percentage. 


If extended is set to 1, also returns a profiles field containing user objects, as well as the following fields: 

uid — User ID; 
first_name — User first name; 
last_name — User last name; 
photo — URL of the 50x50px user photo; 
photo_medium_rec — URL of the 100x100px user photo; 
sex — User sex; 
online — Information whether the user is online. 

If start_comment_id is set, real_offset will be returned — the resulting offset of a given subset of comments (it can be negative). "
board,N/A - VK has no Class Descriptions,gettopics,Returns a list of topics on a community's discussion board.,"Returns an object containing the following fields: 
count
integer Results number. items
array Array of objects describing topics. default_order
integer Sort type. Possible values: 

1 — by descending of the last update date; 
2 — by descending of the creation date; 
-1 — by ascending of the last update date; 
-2 — by ascending of the creation date. can_add_topics
integer, [0,1] Information whether the current user can create topics in the community. Possible values: 

0 — can; 
1 — cannot. profiles
array An array of objects describing users. Each of objects contains base fields andsex, photo_50, photo_100, online, type (= profile) fields. (for extended = 1 only).  "
board,N/A - VK has no Class Descriptions,opentopic,Re-opens a previously closed topic on a community's discussion board.,Returns 1 if succeeded. 
board,N/A - VK has no Class Descriptions,restorecomment,Restores a comment deleted from a topic on a community's discussion board.,Returns 1 if succeeded. 
board,N/A - VK has no Class Descriptions,unfixtopic,Unpins a pinned topic from the top of a community's discussion board.,Returns 1 if succeeded. 
database,N/A - VK has no Class Descriptions,getchairs,Returns list of chairs on a specified faculty.,"Returns the total results number in count field and an array of objects describing chairs in items field. 
Each object contains the fields: 

id (integer) — chair ID; 
title (string) — chair title. 
"
database,N/A - VK has no Class Descriptions,getcities,Returns a list of cities.,"Returns the total results number in count field and an array of objects describing cities in items field. 
Each object contains  the fields: 

id (integer) — city ID; 
title (string) — city name. 

 If there is info about area or region of the city, contains additional  fields: 

area (string) — area; 
region (string) — region. 

If q parameter is not set, returns a list of the major cities in the country. If q is specified, a list of cities mathching the query will be returned. 
Important field marks key cities for current user. "
database,N/A - VK has no Class Descriptions,getcitiesbyid,Returns information about cities by their IDs.,"Returns an array of objects describing cities in items field. 
Each object contains  the fields: 

id (integer) — city ID; 
title (string) — city name. 
"
database,N/A - VK has no Class Descriptions,getcountries,Returns a list of countries.,"Returns an array of objects describing countries in items field. 
Each object contains  the fields: 

id (integer) — country ID; 
title (string) — country name. 

If need_all and code are not set, returns a list of countries near the current user's country. "
database,N/A - VK has no Class Descriptions,getcountriesbyid,Returns information about countries by their IDs.,"Returns an array of objects describing countries in items field. 
Each object contains  the fields: 

id (integer) — country ID; 
title (string) — country name. 
"
database,N/A - VK has no Class Descriptions,getfaculties,"Returns a list of faculties (i.e., university departments).","Returns an array of objects describing faculties in items field. 
Each object contains  the fields: 

id (integer) — faculty ID; 
title (string) — faculty name. 
"
database,N/A - VK has no Class Descriptions,getmetrostations,N/A,N/A
database,N/A - VK has no Class Descriptions,getmetrostationsbyid,N/A,N/A
database,N/A - VK has no Class Descriptions,getregions,Returns a list of regions.,"Returns an array of objects describing regions in items field. 
Each object contains  the fields: 

id (integer) — region ID; 
title (string) — region name. 

If q parameter is not set, returns all the regions in country. "
database,N/A - VK has no Class Descriptions,getschoolclasses,Returns a list of school classes specified for the country.,"Returns an array of objects, each of them is a pair of class ID (integer) and definition (string). "
database,N/A - VK has no Class Descriptions,getschools,Returns a list of schools.,"Returns an array of objects describing schools in items field. 
Each object contains  the fields: 

id (integer) — school ID; 
title (string) — school name. 
"
database,N/A - VK has no Class Descriptions,getuniversities,Returns a list of higher education institutions.,"Returns an array of objects describing universities in items field. 
Each object contains  the fields: 

id (integer) — university ID; 
title (string) — university name. 
"
docs,N/A - VK has no Class Descriptions,add,Copies a document to a user's or community's document list.,Returns the ID of the created document. 
docs,N/A - VK has no Class Descriptions,delete,Deletes a user or community document.,Returns 1 if succeeded. 
docs,N/A - VK has no Class Descriptions,edit,Edits a document.,Returns 1 if succeeded. 
docs,N/A - VK has no Class Descriptions,get,Returns detailed information about user or community documents.,Returns the total results number in count field and an array of objects describing documents in items field. 
docs,N/A - VK has no Class Descriptions,getbyid,Returns information about documents by their IDs.,Returns the total results number in count field and an array of objects describing documents in items field. 
docs,N/A - VK has no Class Descriptions,getmessagesuploadserver,Returns the server address for document upload.,Returns an object with the only field upload_url (string). 
docs,N/A - VK has no Class Descriptions,gettypes,Returns documents types available for current user.,"Returns the total results number in count field and an array of objects describing document type in items field. 
Each object in items array contains the following fields: 

id (integer) — type ID; 
name (string) — type name; 
count (integer) — amount of documents. 
"
docs,N/A - VK has no Class Descriptions,getuploadserver,Returns the server address for document upload.,"Returns an object with an upload_url field. After the document is uploaded, use the docs.save method. "
docs,N/A - VK has no Class Descriptions,getwalluploadserver,Returns the server address for document upload onto a user's or community's wall.,"Returns an object with an upload_url field. After the document is uploaded, use the docs.save method. "
docs,N/A - VK has no Class Descriptions,save,Saves a document after uploading it to a server.,"Returns an array of objects describing uploaded documents. Each object in this array contains type (string) field with possible values graffiti, audio_message, doc, and corresponding object. 
For type = graffiti – graffiti object describing graffiti. 
For type = audio_message – audio_message object describing audio message. 
For type = doc – doc object describing other types of documents. "
docs,N/A - VK has no Class Descriptions,search,Returns a list of documents matching the search criteria.,Returns the total results number in count field and an array of objects describing documents in items field. 
downloadedgames,N/A - VK has no Class Descriptions,getpaidstatus,N/A,N/A
other,N/A - VK has no Class Descriptions,execute,A universal method for calling a sequence of other methods while saving and filtering interim results.,Returns data requested by the algorithm. NOTE: The structure of the response in XML is close to JSON and can have slight differences from the standard representation of other methods. 
fave,N/A - VK has no Class Descriptions,addarticle,N/A,N/A
fave,N/A - VK has no Class Descriptions,addlink,Adds a link to user faves.,Returns 1 if succeeded. 
fave,N/A - VK has no Class Descriptions,addpage,N/A,N/A
fave,N/A - VK has no Class Descriptions,addpost,N/A,N/A
fave,N/A - VK has no Class Descriptions,addproduct,N/A,N/A
fave,N/A - VK has no Class Descriptions,addtag,N/A,N/A
fave,N/A - VK has no Class Descriptions,addvideo,N/A,N/A
fave,N/A - VK has no Class Descriptions,edittag,N/A,N/A
fave,N/A - VK has no Class Descriptions,get,N/A,N/A
fave,N/A - VK has no Class Descriptions,getpages,N/A,N/A
fave,N/A - VK has no Class Descriptions,gettags,N/A,N/A
fave,N/A - VK has no Class Descriptions,markseen,N/A,N/A
fave,N/A - VK has no Class Descriptions,removearticle,N/A,N/A
fave,N/A - VK has no Class Descriptions,removelink,Removes link from the user's faves.,Returns 1 if succeeded. 
fave,N/A - VK has no Class Descriptions,removepage,N/A,N/A
fave,N/A - VK has no Class Descriptions,removepost,N/A,N/A
fave,N/A - VK has no Class Descriptions,removeproduct,N/A,N/A
fave,N/A - VK has no Class Descriptions,removetag,N/A,N/A
fave,N/A - VK has no Class Descriptions,removevideo,N/A,N/A
fave,N/A - VK has no Class Descriptions,reordertags,N/A,N/A
fave,N/A - VK has no Class Descriptions,setpagetags,N/A,N/A
fave,N/A - VK has no Class Descriptions,settags,N/A,N/A
fave,N/A - VK has no Class Descriptions,trackpageinteraction,N/A,N/A
friends,N/A - VK has no Class Descriptions,add,Approves or creates a friend request.,"Returns one of the following values: 

1 — friend request sent; 
2 — friend request from the user approved; 
4 — request resending. 
"
friends,N/A - VK has no Class Descriptions,addlist,Creates a new friend list for the current user.,Returns the ID of the friend list (list_id) that was created. 
friends,N/A - VK has no Class Descriptions,arefriends,Checks the current user's friendship status with other specified users.,"Returns an array of status objects with the following fields: 

user_id — user ID; 
friend_status  — friendship status with the user: 

0 — the user is not a friend; 
1 — a friend request was sent to the user; 
2 — there is an incoming friend request from the user; 
3 — the user is a friend. 

request_message  — text of the message attached to the friend request, if any; 
read_state — request status (1 — viewed), returns then friend_status = 2. 

"
friends,N/A - VK has no Class Descriptions,delete,Declines a friend request or deletes a user from the current user's friend list.,"Returns one of the following values: 

success — friend successfully removed; 
friend_deleted — user deleted from the current user's friend list; 
out_request_deleted — friend request to the user declined; 
in_request_deleted — friend request from the user declined; 
suggestion_deleted — friend request suggestion for the user deleted. 

For v less than or equal to 5.28 returns one of the following values: 

1 — user deleted from the current user's friend list; 
2 — friend request from the user declined; 
3 — friend request suggestion for the user deleted. 
"
friends,N/A - VK has no Class Descriptions,deleteallrequests,Marks all incoming friend requests as viewed.,Returns 1 if succeeded. 
friends,N/A - VK has no Class Descriptions,deletelist,Deletes a friend list of the current user.,Returns 1 if succeeded. 
friends,N/A - VK has no Class Descriptions,edit,Edits the friend lists of the selected user.,Returns 1 if succeeded. 
friends,N/A - VK has no Class Descriptions,editlist,Edits a friend list of the current user.,Returns 1 if succeeded. 
friends,N/A - VK has no Class Descriptions,get,Returns a list of user IDs or detailed information about a user's friends.,"If the fields parameter is not used,  returns the total results number in count field and an array of IDs (id) of the user's friends. 
If the fields parameter is used, returns the total results number in count field and an array of objects describing users in items field. 
Returns not more than 5000 friends if fields are used. "
friends,N/A - VK has no Class Descriptions,getappusers,Returns a list of IDs of the current user's friends who installed the application.,Returns a list of IDs of the current user's friends who installed the application. 
friends,N/A - VK has no Class Descriptions,getbyphones,"Returns a list of the current user's friends whose phone numbers, validated or specified in a profile, are in a given list.","For users whose validated phone numbers are in the list, returns information as an array of user objects with additional field phone  contains a phone number from the list of phone numbers intended for search. "
friends,N/A - VK has no Class Descriptions,getlists,Returns a list of the user's friend lists.,"Returns the total results number in count field and an array of objects describing friend lists in items field. Each object contains the following fields: 

name (string) — list title; 
id (integer) — list ID. 
"
friends,N/A - VK has no Class Descriptions,getmutual,Returns a list of user IDs of the mutual friends of two users.,Returns a list of IDs of the mutual friends of the source_uid and target_uid users. 
friends,N/A - VK has no Class Descriptions,getonline,Returns a list of user IDs of a user's friends who are online.,"Returns a list of IDs of online friends. 
If online_mobile is set to 1, an online_mobile field is also returned with a list of IDs of friends who are online from their mobile devices. 
"
friends,N/A - VK has no Class Descriptions,getrecent,Returns a list of user IDs of the current user's recently added friends.,Returns a list of IDs of the current user's recently added friends sorted in reverse chronological order. 
friends,N/A - VK has no Class Descriptions,getrequests,Returns information about the current user's incoming and outgoing friend requests.,"

If the need_mutual parameter is not used, returns a list of user IDs sorted in reverse chronological order. 



If the need_mutual parameter is used, returns an array of objects with information about friend requests with uid field (user ID) and message field (message of request, if any). 
"
friends,N/A - VK has no Class Descriptions,getsuggestions,Returns a list of profiles of users whom the current user may know.,Returns the total results number in count field and an array of objects describing users in items field with additional field found_with for friends found through contacts import (can be empty). 
friends,N/A - VK has no Class Descriptions,search,Returns a list of friends matching the search criteria.,Returns the total results number in count field and an array of objects describing users in items field. 
gifts,N/A - VK has no Class Descriptions,get,Returns a list of user gifts.,"Returns the total results number in '''count'' field and an array of objects describing gift in items field. 
Each object in items array contains the following fields: 

id (integer) — gift ID; 
from_id (integer)  — ID of the user who sent the gift (or 0 if the gift is anonymous); 
message (string) — message text; 
date (integer) — date when the gift has been sent in unixtime; 
gift (object) — gift info. Contains the followting fields: 

thumb_256 (string) — URL of the gift image with 256x256px size; 
thumb_96 (string) — URL of the gift image with 96x96px size; 
thumb_48 (string) — URL of the gift image with 48x48px size; 

privacy — privacy settings (for current user only). Possible values: 

0 — name and message are visible to all; 
1 — name is visible to all and message is visible to owner only; 
2 — name and message are visible to owner only. 

"
groups,N/A - VK has no Class Descriptions,addaddress,N/A,N/A
groups,N/A - VK has no Class Descriptions,addcallbackserver,Adds Callback API server to the community.,If succeed returns server ID in server_id field (integer). 
groups,N/A - VK has no Class Descriptions,addlink,Allows to add a link to the community.,"Returns an object with the following fields: 

id (integer) — link ID; 
url (string) — link URL; 
name (string) — link title; 
edit_title (integer, [0,1]) — 1 if link title can be edited (for external links only); 
desc (string) — link description; 
image_processing (integer, [1]) — 1 if preview image is processing. 
"
groups,N/A - VK has no Class Descriptions,approverequest,Allows to approve join request to the community.,Returns 1 if succeeded. 
groups,N/A - VK has no Class Descriptions,ban,Adds a user or a group to the community blacklist.,Returns 1 if succeeded. 
groups,N/A - VK has no Class Descriptions,create,Creates a new community.,Returns the ID of the created community. 
groups,N/A - VK has no Class Descriptions,deleteaddress,N/A,N/A
groups,N/A - VK has no Class Descriptions,deletecallbackserver,Deletes Callback API server from the community.,Returns 1. 
groups,N/A - VK has no Class Descriptions,deletelink,Allows to delete a link from the community.,Returns 1 if succeeded. 
groups,N/A - VK has no Class Descriptions,disableonline,"Disables ""online"" status in the community.",Returns 1. 
groups,N/A - VK has no Class Descriptions,edit,Edits a community.,Returns 1 if succeeded. 
groups,N/A - VK has no Class Descriptions,editaddress,N/A,N/A
groups,N/A - VK has no Class Descriptions,editcallbackserver,Edits Callback API server in the community.,Returns 1. 
groups,N/A - VK has no Class Descriptions,editlink,Allows to edit a link in the community.,Returns 1 if succeeded. 
groups,N/A - VK has no Class Descriptions,editmanager,"Allows to add, remove or edit the community manager .",Returns 1 if succeeded. 
groups,N/A - VK has no Class Descriptions,enableonline,"Enables ""online"" status in the community.",Returns 1. 
groups,N/A - VK has no Class Descriptions,get,Returns a list of the communities to which a user belongs.,"Returns the total results number in count field and an array of communities IDs in items field. 
If extended is set to 1, returns an array of  objects describing communities in items field. 
"
groups,N/A - VK has no Class Descriptions,getaddresses,N/A,N/A
groups,N/A - VK has no Class Descriptions,getbanned,Returns a list of users on a community blacklist.,"Returns total results number in the count (integer) field and information about profiles and communities from the blacklist in the items (array) field. Each object in the items array contains following fields: 

type (string) — type. Possible values: 

group — community; 
profile — user. 

group (object) — community information (for type = group).  Community object. 
profile (object) — user information (for type = profile). User object. 
ban_info (object) — information about ban. Object with following fields: 

Объект ban_info —  information about ban.  
admin_id Administrator ID. 
 integer date Date in Unixtime when the user or community had been added to the blacklist. 
 integer reason eason for ban. Possible values: 



0 — other; 
1 — spam; 
2 — verbal abuse; 
3 — strong language; 
4 — irrelevant messages. 


 integer comment Comment text. 
 string end_date Expired date for the ban (0 — forever). 
 integer  
"
groups,N/A - VK has no Class Descriptions,getbyid,Returns information about communities by their IDs.,"Returns the total results number in count field and an array of objects describing communities in items field. 
"
groups,N/A - VK has no Class Descriptions,getcallbackconfirmationcode,Returns Callback API confirmation code for the community.,Returns a string with the confirmation code. 
groups,N/A - VK has no Class Descriptions,getcallbackservers,Receives a list of Callback API servers from the community.,"Returns the total number of servers in the count (integer) field and an array of the objects describing servers in the items field. Each object in items array contains following fields: 

id (integer) — server ID; 
title (string) — server title; 
creator_id (integer) — ID of the user who had added the server; 
url (string) — server URL; 
secret_key (string) — server secret key; 
status (string) — server status. Possible values: 

unconfigured — URL is not configured; 
fail — URL confirmation has been failed; 
wait — waiting for confirmation; 
ok — URL confirmed. 

"
groups,N/A - VK has no Class Descriptions,getcallbacksettings,Returns Callback API notifications settings.,
groups,N/A - VK has no Class Descriptions,getcatalog,Returns communities list for a catalog category.,"Returns the total results number in count field and an array of objects describing communities in items field. 
"
groups,N/A - VK has no Class Descriptions,getcataloginfo,Returns categories list for communities catalog,"Returns enabled field (0 – catalog is unavailable for a user, 1 – catalog is available) and if enabled = 1, array of objects describing market categories. 
Market catalog category.  
id category identifier. 
 positive number name category name. 
 string subcategories returned with subcategories = 1. Array of subcategory objects. Each object contains id and name fields with subcategory id and name.  
Extra fields (extended = 1)  
page_count number of communities in a category. 
 positive number page_previews Array of  community objects for preview.  
"
groups,N/A - VK has no Class Descriptions,getinvitedusers,Returns invited users list of a community,"Returns the total results number in count field and an array of objects describing users in items field. 
"
groups,N/A - VK has no Class Descriptions,getinvites,Returns a list of invitations to join communities and events.,"Returns the total results number in count field and an array of objects describing communities in items field. 
Each object contains an additional invited_by field specifying the ID of the user who sent the invitation. "
groups,N/A - VK has no Class Descriptions,getlongpollserver,Returns data for Bots Long Poll API connection.,"Returns an object with following fields: 

key (string) — key; 
server (string) — server URL; 
ts (integer) — timestamp. 
"
